,id,last_scraped,source,name,host_id,host_name,hosts_time_as_user_years,hosts_time_as_user_months,hosts_time_as_host_years,hosts_time_as_host_months,host_location,host_is_superhost,host_listings_count,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,price_quote_checkin_date,price_quote_checkout_date,price_quote_total_price,price_quote_price_per_night,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_ly,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month,calculated_host_listings_count,calculated_host_listings_count_entire_homes
558,44432274,2026-07-02,previous scrape,COZY & LUXURY MASTERBEDROOM WITH ENSUITE BATHROOM,187592779,Wei,8,1,8,1,"Ottawa, Canada",t,7,t,Knoxdale-Merivale,45.35111,-75.70845,Private room in home,Private room,1,1.4,2.0,2.0,173.3,0000-00-00,"""0000-00-00""",2246.7,173.3,30.0,1125.0,t,0,0,0,0,2026-07-02,12,2,3,2021-10-31,2025-12-31,4.83,4.92,5.0,5.0,4.67,4.83,0.21,6,0
559,44555656,2026-06-24,city scrape,Centrally located walk to restaurants and cafes,36571261,Lianna,11,0,6,10,"Ottawa, Canada",f,3,t,Somerset,45.408,-75.70998,Room in boutique hotel,Private room,6,1.0,2.0,3.0,270.07,2026-06-24,2026-07-24,8102.0,270.07,30.0,1125.0,t,30,60,90,270,2026-06-24,105,0,7,2020-09-05,2025-03-07,4.71,4.75,4.84,4.89,4.72,4.61,1.49,2,1
560,44568855,2026-06-24,city scrape,Exquisite Kanata Home,105348979,Lindsay,9,6,9,2,Canada,f,8,t,Kanata South,45.27829,-75.84017,Entire home,Entire home/apt,6,2.0,3.0,3.0,380.0,2026-07-19,2026-07-21,760.0,380.0,2.0,1125.0,t,6,25,34,34,2026-06-24,191,30,24,2020-09-19,2026-06-18,4.68,4.73,4.92,4.83,4.87,4.74,2.72,2,2
561,44598654,2026-06-24,city scrape,Luxurious oasis single house,18189653,Anastasia,11,11,9,1,"Ottawa, Canada",t,3,t,Barrhaven,45.24326,-75.73505,Entire home,Entire home/apt,6,2.5,4.0,4.0,229.88,2026-07-10,2026-08-10,7126.27,229.88,31.0,1125.0,t,14,44,74,349,2026-06-24,12,0,1,2020-08-30,2025-04-02,4.92,4.83,4.92,4.92,4.5,4.67,0.17,3,3
562,44684310,2026-06-24,city scrape,Great room,323584939,Joyce,6,5,5,10,"Ottawa, Canada",f,1,t,Knoxdale-Merivale,45.35203,-75.72788,Private room in townhouse,Private room,1,1.0,2.0,1.0,80.73,2026-06-24,2026-07-24,2421.97,80.73,30.0,1125.0,t,30,60,90,365,2026-06-24,3,0,0,2020-08-21,2020-09-07,5.0,5.0,5.0,5.0,5.0,5.0,0.04,1,0
563,44738092,2026-06-24,city scrape,Townhouse-Brittanic Rd Kanata 31-day min booking,362158635,Jindra,5,10,5,10,"Ottawa, Canada",f,1,t,Stittsville-Kanata West,45.26817,-75.88218,Entire townhouse,Entire home/apt,6,2.5,3.0,3.0,109.65,2026-09-06,2026-10-07,3399.09,109.65,31.0,1125.0,t,0,0,21,111,2026-06-24,9,3,2,2020-11-14,2026-04-28,4.78,4.89,4.89,4.89,4.78,4.56,0.13,1,1
564,45075938,2026-06-24,city scrape,ROOM NUMBER 2,325965874,Arian,6,5,6,5,"Ottawa, Canada",t,7,t,Knoxdale-Merivale,45.363789,-75.719658,Private room in bungalow,Private room,2,1.5,2.0,1.0,126.0,2026-07-16,2026-07-17,126.0,126.0,1.0,30.0,t,8,38,68,68,2026-06-24,126,9,16,2020-09-18,2026-02-21,4.79,4.85,4.86,4.81,4.67,4.67,1.79,7,1
565,45076007,2026-06-24,city scrape,ROOM NUMBER 3,325965874,Arian,6,5,6,5,"Ottawa, Canada",t,7,t,Knoxdale-Merivale,45.36453,-75.71903,Private room in bungalow,Private room,2,2.5,2.0,1.0,117.54,2026-06-30,2026-07-01,117.54,117.54,1.0,30.0,t,24,54,84,84,2026-06-24,131,16,17,2020-09-06,2026-06-12,4.69,4.75,4.8,4.69,4.59,4.68,1.86,7,1
566,45140268,2026-06-24,city scrape,"Clean, renovated room with kitchen in southgate rd",364541518,Amin,5,9,5,9,"Ottawa, Canada",f,12,t,Gloucester-Southgate,45.35938,-75.65231,Private room in home,Private room,2,1.0,2.0,1.0,104.0,2026-06-28,2026-06-30,208.0,104.0,2.0,60.0,t,26,56,86,176,2026-06-24,140,25,20,2020-09-02,2026-06-08,4.71,4.78,4.89,4.86,4.73,4.69,1.98,7,0
567,45153900,2026-06-24,city scrape,Overbrook 2A- 30 minutes walk to Ottawa University,1959431,Paul,14,3,11,9,"Ottawa, Canada",f,13,t,Rideau-Rockcliffe,45.42566,-75.65826,Private room in home,Private room,1,1.0,2.0,1.0,28.19,2026-07-02,2026-08-01,845.67,28.19,30.0,1125.0,t,29,59,89,364,2026-06-24,2,1,1,2020-11-01,2025-09-01,4.5,4.5,4.5,4.5,3.5,4.5,0.03,13,7
568,45166164,2026-06-24,city scrape,Basement all inclusive studio,137702868,Parni,8,11,5,9,"Ottawa, Canada",f,3,t,Barrhaven,45.27589,-75.77007,Private room in home,Private room,2,1.0,2.0,3.0,105.56,2026-07-29,2026-08-02,422.24,105.56,4.0,1125.0,t,2,27,57,264,2026-06-24,55,5,2,2020-08-31,2026-06-12,4.78,4.84,4.91,4.96,4.89,4.82,0.78,1,0
569,45175363,2026-06-24,city scrape,"Clean,big,new renovated room 6min to airport.",364541518,Amin,5,9,5,9,"Ottawa, Canada",f,12,t,Gloucester-Southgate,45.35983,-75.65181,Private room in home,Private room,2,1.0,2.0,1.0,98.5,2026-06-24,2026-06-26,197.0,98.5,2.0,60.0,t,28,58,88,178,2026-06-24,94,9,14,2020-09-07,2026-06-08,4.69,4.78,4.9,4.87,4.82,4.7,1.33,7,0
570,45176746,2026-06-24,city scrape,"Clean, clean clean room with kitchen in rd",364541518,Amin,5,9,5,9,"Ottawa, Canada",f,12,t,Gloucester-Southgate,45.35958,-75.65232,Private room in home,Private room,2,1.0,2.0,1.0,98.5,2026-06-28,2026-06-30,197.0,98.5,2.0,60.0,t,27,57,87,177,2026-06-24,96,14,19,2020-09-02,2026-06-07,4.66,4.74,4.94,4.88,4.76,4.7,1.36,7,0
571,45176860,2026-06-24,city scrape,"Clean, new renovated room 8min to the airport.",364541518,Amin,5,9,5,9,"Ottawa, Canada",f,12,t,Gloucester-Southgate,45.35852,-75.65158,Private room in home,Private room,2,1.0,2.0,1.0,124.0,2026-06-24,2026-06-25,124.0,124.0,1.0,60.0,t,28,58,88,178,2026-06-24,95,18,17,2020-08-30,2026-06-01,4.68,4.74,4.89,4.87,4.81,4.73,1.34,7,0
